,id_response,model_type
0,95eac5e8-b380-478f-872c-a96b06438074,zero_shot
1,3cb9b9ac-3bd6-494a-9fed-4b798ff16e0f,zero_shot
2,2d829ae2-75f0-49c5-8b63-a222dde5d33e,zero_shot
3,5395534a-f92c-44ae-bdc2-48ff4017dd52,zero_shot
4,06b985be-78f3-40c5-82d3-de3d106e4781,zero_shot
5,394365f8-2b9c-4451-988e-ac694f8aae2c,zero_shot
6,1b87a75b-469a-4254-a96b-c376adf618d1,zero_shot
7,c7a7f97d-8651-4ce6-8b20-56fdb2ad62a7,zero_shot
8,caae5a8a-2e78-4fb8-a81b-f2a94264a5ce,zero_shot
9,e147234e-e29a-4090-ba04-56d59139d3fb,zero_shot
10,4d0fd78a-c26d-4752-96b2-679bec219333,zero_shot
11,c9b01cf0-7cea-4049-8240-f4fe46a6935e,zero_shot
12,ea164f0e-0bc5-4bfa-b080-42fb09ce3287,zero_shot
13,eef11249-ae58-43b0-b8ea-115e9a080380,zero_shot
14,fb756964-59c4-4534-a644-b2e7743dc822,zero_shot
15,276f6a47-8ae0-4f03-92be-beceb4066e01,few_shot
16,d587c3f8-8b81-4b51-8069-82d6e21cc0b1,few_shot
17,019c0960-d4f4-4ab2-ba8f-e7c9c149df70,few_shot
18,b8d5f9f6-7545-4376-80cf-1339596d67e9,few_shot
19,671deaac-63bb-4490-ac0d-93950cfd126a,few_shot
20,bf525c36-bb63-4d09-8fa8-466dd7d2450b,few_shot
21,f723e494-7596-480e-b0e1-083419936df9,few_shot
22,bfa91730-c5a4-4cc9-9229-80e1a767a1fc,few_shot
23,bb85ff89-8797-4017-97e6-67a550107533,few_shot
24,d09757ef-d5ed-43cb-aea9-60cbaf887bb7,few_shot
25,a617fbee-ac5a-4236-9898-b422e30842e2,few_shot
26,21ea5dc1-1049-4ab6-bcd8-0f692e5a7959,few_shot
27,32238ffa-5ec5-4e45-a458-3d713185f9b2,few_shot
28,fa089d07-6231-4530-884d-e4d5894130d0,few_shot
29,dbd5b2c0-d019-40dd-8bd3-1de15be82e0f,few_shot
30,4c415124-0256-409f-88fc-3c0593e5b07d,fine_tuned
31,b5570203-d461-4aa8-a1d3-0e43b74ecb4e,fine_tuned
32,052034f0-df70-470c-bc64-7d7f76aa651b,fine_tuned
33,90ca1f99-9cce-4e5b-9411-b27772dbf76b,fine_tuned
34,37134e9a-5c81-46ac-8cef-a74a8e7b5c23,fine_tuned
35,1cedf7a2-1f45-439b-b7eb-6c2855300ca0,fine_tuned
36,1e1e4446-82a1-439a-95f2-0b999e249e01,fine_tuned
37,2d61677b-eeff-413c-98a4-e3f398bab351,fine_tuned
38,f8e8b1d2-c086-4e57-839e-992e5edb5bf8,fine_tuned
39,f582eeaa-67dc-4688-9367-61eee828a35e,fine_tuned
40,c806b63b-f7fb-4f7c-89a1-15416f704a57,fine_tuned
41,bc02f486-ef8c-47af-9bb4-44a1a40704f2,fine_tuned
42,aa6476d1-9d46-4ac4-b517-4af2d54f0a52,fine_tuned
43,c39ef563-0d65-47e8-8c4b-832ce2162d81,fine_tuned
44,f7a63456-f86d-4115-aaea-358d067b4e72,fine_tuned
